Sigla;Nome;Bacia ;Tipo;Operador;Latitude;Longitude;Lâmina D'água (m);Capacidade de Processamento Petróleo (bbl/dia);Capacidade de Processamento Gás (Mil m³/dia)
FPSO FRADE;FPSO FRADE;Campos ;FPSO;Chevron Frade;-21:53:03,196;-39:51:30,700;1065;100000;3000
PEREGRINO 1;FPSO Peregrino;Campos ;FPSO;Equinor Brasil;-23:19:03,931;-41:15:28,110;100;100000;206,7
FPSOPL;FPSO PIONEIRO DE LIBRA;santos ;FPSO;Petrobras;-24:39:29,250;-42:13:55,500;2040;50318;4000
FPSO POLVO;FPSO Polvo;Campos ;FPSO;PetroRio O&G;-23:04:57,171;-41:00:37,100;105;90000;59,5
OSX3;FPSO_OSX3;Campos ;FPSO;Dommo Energia;-23:08:08,977;-41:04:24,717;105;100000;1500
FSME;FSO CIDADE DE MACAÉ;Campos ;FSO;Petrobras;-22:09:27,339;-40:08:48,842;95;0;0
PEREGRINO A;Peregrino A;Campos ;FIXA;Equinor Brasil;-23:20:03,631;-41:17:54,162;106;0;0
PEREGRINO B;Peregrino B;Campos ;FIXA;Equinor Brasil;-23:17:45,388;-41:12:28,023;122;0;0
PPER;PEROA;Espirito Santo;FIXA;Petrobras;-19:33:51,946;-39:15:14,198;70;0;8000
P-08;PETROBRAS 08;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:40:18,417;-40:32:53,241;423;80000;1800
P-09;PETROBRAS 09;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:34:21,747;-40:31:45,393;220;37740;1200
P-18;PETROBRAS 18;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:25:38,135;-40:01:49,135;910;100000;2400
P-19;PETROBRAS 19;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:23:29,307;-40:03:23,333;770;130000;4080
P-20;PETROBRAS 20;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:21:28,298;-40:05:26,945;610;75480;1400
P-25;PETROBRAS 25;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:06:34,056;-39:55:00,960;575;120000;3250
P-26;PETROBRAS 26;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:28:02,870;-40:01:49,854;990;100000;3000
P-31;PETROBRAS 31;Campos ;FPSO;Petrobras;-22:07:48,440;-39:57:59,913;325;100000;2900
P-32;PETROBRAS 32;Campos ;FSO;Petrobras;-22:20:51,042;-40:14:31,830;163;100000;0
P-33;PETROBRAS 33;Campos ;FPSO;Petrobras;-22:22:15,714;-40:01:37,609;780;50000;1500
P-35;PETROBRAS 35;Campos ;FPSO;Petrobras;-22:26:08,914;-40:04:11,622;850;100000;3000
P-37;PETROBRAS 37;Campos ;FPSO;Petrobras;-22:29:02,411;-40:05:51,419;905;180000;4650
P-38;PETROBRAS 38;Campos ;FSO;Petrobras;-22:33:29,405;-40:07:22,137;1010;0;0
P-40;PETROBRAS 40;Campos ;SEMI SUBMERSÍVEL;Petrobras;-22:32:46,302;-40:04:09,042;1080;156000;6000
P-43;PETROBRAS 43;Campos ;FPSO;Petrobras;-22:33:03,389;-40:15:36,585;800;150000;6000
P-47;PETROBRAS 47;Campos ;FPSO;Petrobras;-22:20:31,080;-40:11:42,754;190;100000;0
